,ROUTE,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
0,LowerParel -- Mumbai,53.0,16.428867921276826,1,1,Maharashtra,Maharashtra,LowerParel,Carting,Mumbai
1,Mumbai -- Bhiwandi,46.0,20.199444672663994,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
2,Gurgaon -- Gurgaon,43.0,29.740842214324633,1,1,Haryana,Haryana,Gurgaon,Carting,Gurgaon
3,Jaipur -- Ambabadi Jaipur,41.0,15.348495371188195,1,1,Rajasthan,Rajasthan,Jaipur,Carting,Ambabadi Jaipur
4,Noida -- Del,40.0,10.882901760819868,1,1,Delhi,Uttar Pradesh,Noida,Carting,Del
5,Hyderabad -- Hyderabad,39.0,35.69564140778872,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
6,Mumbai -- Mumbai,37.0,13.882862882594129,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
7,Mumbai -- Mumbai,36.0,17.526251439911803,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
8,Bhiwandi -- Mumbai,35.0,21.24153449796474,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
9,Mumbai -- Mumbai,34.0,15.90661390173936,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
10,Mumbai -- Mumbai,33.0,15.668725955779076,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
11,Bengaluru -- Bengaluru,33.0,28.06700353813313,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
12,Sonipat -- Sonipat,32.0,11.69124275431833,1,1,Haryana,Haryana,Sonipat,Carting,Sonipat
13,Hyderabad -- Hyderabad,32.0,21.83557851561085,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
14,Mumbai -- Bhiwandi Mumbai,32.0,21.601109213090442,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Bhiwandi Mumbai
15,Bengaluru -- Bengaluru,30.0,28.055789213744443,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
16,Bhiwandi -- Mumbai,30.0,21.39600211350558,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
17,Bengaluru -- Bengaluru,27.0,27.967086618382158,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
18,Faridabad -- FBD,26.0,9.677120990120999,1,1,Haryana,Haryana,Faridabad,Carting,FBD
19,Sonipat -- Sonipat,26.0,12.182485537459739,1,1,Haryana,Haryana,Sonipat,Carting,Sonipat
20,Bhiwandi -- Mumbai,25.0,21.531705315735692,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
21,Mumbai -- Bhiwandi,25.0,19.94219063782423,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
22,Faridabad -- Gurgaon,25.0,47.091621971430065,1,1,Haryana,Haryana,Faridabad,Carting,Gurgaon
23,Bengaluru -- Bengaluru,25.0,28.01966762740182,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
24,HBR -- Bengaluru,24.0,21.32337533188367,1,1,Karnataka,Karnataka,HBR,Carting,Bengaluru
25,Bhiwandi Mumbai -- Mumbai Bhiwandi,24.0,48.34948698433368,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
26,Bengaluru -- Bengaluru,24.0,41.396497358681835,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
27,CCU -- Kolkata,24.0,16.36750700431297,1,1,West Bengal,West Bengal,CCU,Carting,Kolkata
28,Bhiwandi Mumbai -- Mumbai Bhiwandi,24.0,22.777751092442987,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
29,Kolkata -- Kolkata,23.0,17.718961815869186,1,1,West Bengal,West Bengal,Kolkata,Carting,Kolkata
30,Chandigarh -- Chandigarh,23.0,77.02330723702053,2,2,Chandigarh Punjab,Punjab Chandigarh,Chandigarh,Carting,Chandigarh
31,Bhiwandi -- Mumbai,23.0,21.548961428891474,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
32,Bengaluru -- HBR Bengaluru,23.0,20.391130504375315,1,1,Karnataka,Karnataka,Bengaluru,Carting,HBR Bengaluru
33,Mumbai -- Mumbai,23.0,10.159853871984835,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
34,Jaipur Kotputli Paota Achrol Alwar -- Alwar Paota Jaipur Achrol,22.0,170.15604532470135,1,1,Rajasthan,Rajasthan,Jaipur Kotputli Paota Achrol Alwar,FTL,Alwar Paota Jaipur Achrol
35,Ongole Kanigiri Kandukur Kavali -- Kanigiri Kandukur Kavali Ongole,22.0,177.80214967844555,1,1,Andhra Pradesh,Andhra Pradesh,Ongole Kanigiri Kandukur Kavali,FTL,Kanigiri Kandukur Kavali Ongole
36,Amritsar Jalandhar Ludhiana Chandigarh -- Jalandhar Ludhiana Chandigarh Amritsar,22.0,325.6077239987755,1,1,Punjab,Punjab,Amritsar Jalandhar Ludhiana Chandigarh,FTL,Jalandhar Ludhiana Chandigarh Amritsar
37,Bhiwandi -- Hyderabad,22.0,607.5146186007428,1,1,Telangana,Maharashtra,Bhiwandi,FTL,Hyderabad
38,Chimkurthy Markapur Vinukonda Ongole Addanki -- Markapur Vinukonda Addanki Chimkurthy Ongole,22.0,116.94312871292227,1,1,Andhra Pradesh,Andhra Pradesh,Chimkurthy Markapur Vinukonda Ongole Addanki,FTL,Markapur Vinukonda Addanki Chimkurthy Ongole
39,Chennai -- Chennai,22.0,31.96037488612257,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
40,Jamshedpur -- Ranchi,22.0,100.7659859826736,1,1,Jharkhand,Jharkhand,Jamshedpur,FTL,Ranchi
41,Delhi -- Delhi,22.0,17.75759850004242,1,1,Delhi,Delhi,Delhi,Carting,Delhi
42,Pune Solapur Osmanabad Barshi -- Solapur Osmanabad Barshi Pune,22.0,533.1170770638041,1,1,Maharashtra,Maharashtra,Pune Solapur Osmanabad Barshi,FTL,Solapur Osmanabad Barshi Pune
43,Davangere Ranebennur Haveri Ukkadagatri -- Ranebennur Haveri Davangere Ukkadagatri,22.0,128.24533949795182,1,1,Karnataka,Karnataka,Davangere Ranebennur Haveri Ukkadagatri,Carting,Ranebennur Haveri Davangere Ukkadagatri
44,Mumbai -- Nalasopara Mumbai,22.0,29.395414659666503,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Nalasopara Mumbai
45,Srikakulam Narasnpeta Tekkali Paralakhemundi Palasa -- Narasnpeta Tekkali Paralakhemundi Srikakulam Palasa,22.0,120.68073720894908,2,2,Andhra Pradesh Orissa,Andhra Pradesh Orissa,Srikakulam Narasnpeta Tekkali Paralakhemundi Palasa,FTL,Narasnpeta Tekkali Paralakhemundi Srikakulam Palasa
46,Srikakulam Rajam Bobbili Parvathipuram Palakonda Salur -- Rajam Salur Parvathipuram Palakonda Srikakulam Bobbili,22.0,154.49528330364112,1,1,Andhra Pradesh,Andhra Pradesh,Srikakulam Rajam Bobbili Parvathipuram Palakonda Salur,FTL,Rajam Salur Parvathipuram Palakonda Srikakulam Bobbili
47,Bhiwandi Mumbai -- Mumbai Bhiwandi,22.0,25.134730128053004,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
48,Chandigarh RoopNagar AnandprShb -- Chandigarh RoopNagar AnandprShb,22.0,157.53067977808843,2,2,Chandigarh Punjab,Punjab Chandigarh,Chandigarh RoopNagar AnandprShb,FTL,Chandigarh RoopNagar AnandprShb
49,Amravati Akola -- Akola Bhiwandi,22.0,483.6682010731376,1,1,Maharashtra,Maharashtra,Amravati Akola,FTL,Akola Bhiwandi
50,Purnia Supaul Saharsa Madhepura Triveninganj -- Supaul Saharsa Madhepura Triveninganj Purnia,22.0,196.71486336660575,1,1,Bihar,Bihar,Purnia Supaul Saharsa Madhepura Triveninganj,FTL,Supaul Saharsa Madhepura Triveninganj Purnia
51,Kollam Kottarakkara Punalur Pthnmthitt Adoor -- Kottarakkara Punalur Pthnmthitt Adoor Kollam,22.0,87.94574711040437,1,1,Kerala,Kerala,Kollam Kottarakkara Punalur Pthnmthitt Adoor,Carting,Kottarakkara Punalur Pthnmthitt Adoor Kollam
52,Dhule Sakri Nandurbar Shahada Shirpur Shindkheda -- Sakri Nandurbar Shahada Shindkheda Dhule Shirpur,22.0,150.01623282769398,1,1,Maharashtra,Maharashtra,Dhule Sakri Nandurbar Shahada Shirpur Shindkheda,FTL,Sakri Nandurbar Shahada Shindkheda Dhule Shirpur
53,Pukhrayan Orai Kanpur Akbarpur Konch Rath -- Orai Konch Akbarpur Pukhrayan Rath Kanpur,22.0,139.83494526036563,1,1,Uttar Pradesh,Uttar Pradesh,Pukhrayan Orai Kanpur Akbarpur Konch Rath,FTL,Orai Konch Akbarpur Pukhrayan Rath Kanpur
54,HBR Bengaluru -- Bengaluru HBR,22.0,20.69908066807781,1,1,Karnataka,Karnataka,HBR Bengaluru,Carting,Bengaluru HBR
55,Humnabad Bidar Narayankhed Zahirabad Gulbarga -- Bidar Narayankhed Zahirabad Hyderabad Humnabad,22.0,256.6077018386736,2,2,Karnataka Telangana,Karnataka Telangana,Humnabad Bidar Narayankhed Zahirabad Gulbarga,FTL,Bidar Narayankhed Zahirabad Hyderabad Humnabad
56,Motihari Raxaul Muzaffrpur Chakia -- Raxaul Muzaffrpur Chakia Motihari,22.0,197.79631532569155,1,1,Bihar,Bihar,Motihari Raxaul Muzaffrpur Chakia,FTL,Raxaul Muzaffrpur Chakia Motihari
57,Bangana Nadaun Chandigarh Hamirpur Sujanpur -- Bhota Chandigarh Bangana Sujanpur Nadaun,22.0,255.5225843096684,2,2,Himachal Pradesh Punjab,Himachal Pradesh Punjab,Bangana Nadaun Chandigarh Hamirpur Sujanpur,FTL,Bhota Chandigarh Bangana Sujanpur Nadaun
58,Ludhiana Jagraon Raikot -- Jagraon Raikot Ludhiana,22.0,85.72436326168489,1,1,Punjab,Punjab,Ludhiana Jagraon Raikot,FTL,Jagraon Raikot Ludhiana
59,Muzaffrpur Darbhanga Benipur Jhanjharpur -- Darbhanga Benipur Jhanjharpur Muzaffrpur,22.0,177.20299995942452,1,1,Bihar,Bihar,Muzaffrpur Darbhanga Benipur Jhanjharpur,FTL,Darbhanga Benipur Jhanjharpur Muzaffrpur
60,Trivandrum Neyatinkra Kallikkad Nedumangad -- Neyatinkra Kallikkad Nedumangad Trivandrum,22.0,34.26813193639022,1,1,Kerala,Kerala,Trivandrum Neyatinkra Kallikkad Nedumangad,Carting,Neyatinkra Kallikkad Nedumangad Trivandrum
61,Delhi Gurgaon -- Gurgaon Pune,22.0,1151.5149396192553,2,2,Haryana Maharashtra,Delhi Haryana,Delhi Gurgaon,FTL,Gurgaon Pune
62,Chandigarh Gurgaon -- Gurgaon Bengaluru,22.0,1905.7660507664164,2,2,Haryana Karnataka,Punjab Haryana,Chandigarh Gurgaon,FTL,Gurgaon Bengaluru
63,Muzaffrpur Madhubani Jaynagar -- Madhubani Jaynagar Muzaffrpur,22.0,189.9580738702376,1,1,Bihar,Bihar,Muzaffrpur Madhubani Jaynagar,FTL,Madhubani Jaynagar Muzaffrpur
64,Madhupur Deoghar Godda Sahebganj Dhanbad Giridih -- Dhanbad Godda Sahebganj Deoghar Giridih Madhupur,21.0,252.07225938617134,1,1,Jharkhand,Jharkhand,Madhupur Deoghar Godda Sahebganj Dhanbad Giridih,FTL,Dhanbad Godda Sahebganj Deoghar Giridih Madhupur
65,Muzaffrpur Dholi Samastipur HazratJandaha -- Dholi Samastipur HazratJandaha Muzaffrpur,21.0,96.48218753945999,1,1,Bihar,Bihar,Muzaffrpur Dholi Samastipur HazratJandaha,FTL,Dholi Samastipur HazratJandaha Muzaffrpur
66,Bhatinda Chandigarh -- Chandigarh Bhatinda,21.0,293.43855173303797,1,1,Punjab,Punjab,Bhatinda Chandigarh,FTL,Chandigarh Bhatinda
67,Biswan Sitapur Lakhimpur Gola -- Sitapur Lakhimpur Gola Dhaurahara,21.0,167.43297409714307,1,1,Uttar Pradesh,Uttar Pradesh,Biswan Sitapur Lakhimpur Gola,FTL,Sitapur Lakhimpur Gola Dhaurahara
68,Mumbai -- Mumbai,21.0,16.931003466080814,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
69,Gurgaon -- Bengaluru,21.0,1689.8731584720479,1,1,Karnataka,Haryana,Gurgaon,FTL,Bengaluru
70,Pen Roha Mahad -- Roha Mahad Pen,21.0,126.15909118066213,1,1,Maharashtra,Maharashtra,Pen Roha Mahad,Carting,Roha Mahad Pen
71,Itarsi Betul Pandhurna Bhopal Hoshangabad -- Betul Pandhurna Sausar Hoshangabad Itarsi,21.0,192.43634054145323,1,1,Madhya Pradesh,Madhya Pradesh,Itarsi Betul Pandhurna Bhopal Hoshangabad,FTL,Betul Pandhurna Sausar Hoshangabad Itarsi
72,Bhiwandi Nashik -- Nashik Bhiwandi,21.0,231.04505503735237,1,1,Maharashtra,Maharashtra,Bhiwandi Nashik,FTL,Nashik Bhiwandi
73,Patancheru -- Hyderabad,21.0,29.17604408270342,1,1,Telangana,Telangana,Patancheru,Carting,Hyderabad
74,Ahmedabad -- Ahmedabad,21.0,29.003756209021724,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
75,Chandigarh -- Chandigarh,21.0,73.96841241882373,2,2,Chandigarh Punjab,Chandigarh Punjab,Chandigarh,Carting,Chandigarh
76,Gurgaon -- Faridabad,21.0,46.984699927936475,1,1,Haryana,Haryana,Gurgaon,Carting,Faridabad
77,Bhopal Kanpur Auraiya Etawah -- Kanpur Auraiya Etawah Gurgaon,21.0,731.6344557928254,2,2,Uttar Pradesh Haryana,Madhya Pradesh Uttar Pradesh,Bhopal Kanpur Auraiya Etawah,FTL,Kanpur Auraiya Etawah Gurgaon
78,FBD -- Delhi,21.0,20.154818411232856,1,1,Delhi,Haryana,FBD,Carting,Delhi
79,Noida Khurja Jewar Pahasu Anupshahar Bulndshahr -- Sikandrabd Jewar Pahasu Anupshahar Noida Khurja,21.0,208.71404315589984,1,1,Uttar Pradesh,Uttar Pradesh,Noida Khurja Jewar Pahasu Anupshahar Bulndshahr,FTL,Sikandrabd Jewar Pahasu Anupshahar Noida Khurja
80,"Hassan Channaraya Koppa Madikeri Ramanathapura Nagamangala
 Krishnarajpet -- Channaraya Nagamangala Madikeri Ramanathapura Hassan
 Krishnarajpet Koppa",21.0,200.49783192236836,1,1,Karnataka,Karnataka,"Hassan Channaraya Koppa Madikeri Ramanathapura Nagamangala
 Krishnarajpet",FTL,"Channaraya Nagamangala Madikeri Ramanathapura Hassan
 Krishnarajpet Koppa"
81,Vijayawada Eluru Kaikaluru HanumanJNC Nuzvid -- Nuzvid Kaikaluru Vijayawada Eluru HanumanJNC,21.0,114.52719592010706,1,1,Andhra Pradesh,Andhra Pradesh,Vijayawada Eluru Kaikaluru HanumanJNC Nuzvid,FTL,Nuzvid Kaikaluru Vijayawada Eluru HanumanJNC
82,Vijayawada Gudivada Machilipatnam Vuyyuru -- Gudivada Machilipatnam Vijayawada Vuyyuru,21.0,93.62363768960661,1,1,Andhra Pradesh,Andhra Pradesh,Vijayawada Gudivada Machilipatnam Vuyyuru,FTL,Gudivada Machilipatnam Vijayawada Vuyyuru
83,Gurgaon -- Faridabad,21.0,47.660301239614554,1,1,Haryana,Haryana,Gurgaon,Carting,Faridabad
84,Gurgaon -- Bengaluru,21.0,1689.7918936277388,1,1,Karnataka,Haryana,Gurgaon,FTL,Bengaluru
85,Gurgaon -- Delhi,21.0,38.37694306206252,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
86,Baddi Chandigarh Kalka Nalagarh Solan Parwanoo -- Chandigarh Solan Baddi Parwanoo Kalka,21.0,138.01530225455198,3,3,Punjab Himachal Pradesh Haryana,Himachal Pradesh Punjab Haryana,Baddi Chandigarh Kalka Nalagarh Solan Parwanoo,FTL,Chandigarh Solan Baddi Parwanoo Kalka
87,Muzaffrpur Sitamari Benipatti Sheohar Pupri -- Sheohar Pupri Muzaffrpur Sitamari Benipatti,21.0,134.68993393024746,1,1,Bihar,Bihar,Muzaffrpur Sitamari Benipatti Sheohar Pupri,FTL,Sheohar Pupri Muzaffrpur Sitamari Benipatti
88,Muzaffrpur Dhaka Bettiah Narktiganj -- Dhaka Bettiah Narktiganj Muzaffrpur,21.0,259.41600707688707,1,1,Bihar,Bihar,Muzaffrpur Dhaka Bettiah Narktiganj,FTL,Dhaka Bettiah Narktiganj Muzaffrpur
